 Rows: Electric field / N (Td)                                         
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    

 Diffusion coefficient *N (1/m/s)                                
  0.1140E+25  0.9005E+24  0.7525E+24  0.6535E+24
  0.5095E+25  0.5102E+25  0.5950E+25  0.7811E+25
  0.8252E+25  0.6133E+25  0.7528E+25  0.1038E+26
  0.1186E+26  0.6552E+25  0.8141E+25  0.1167E+26
  0.1663E+26  0.6907E+25  0.8645E+25  0.1286E+26
  0.2250E+26  0.7230E+25  0.9116E+25  0.1408E+26
  0.2965E+26  0.7542E+25  0.9573E+25  0.1537E+26
  0.3863E+26  0.7840E+25  0.1002E+26  0.1673E+26
  0.5019E+26  0.8128E+25  0.1045E+26  0.1817E+26
  0.6560E+26  0.8413E+25  0.1089E+26  0.1970E+26
  0.8676E+26  0.8692E+25  0.1132E+26  0.2131E+26
  0.1176E+27  0.8963E+25  0.1175E+26  0.2302E+26
  0.1643E+27  0.9231E+25  0.1217E+26  0.2482E+26
  0.2360E+27  0.9497E+25  0.1260E+26  0.2669E+26
  0.3426E+27  0.9761E+25  0.1302E+26  0.2865E+26
  0.4913E+27  0.1002E+26  0.1344E+26  0.3070E+26
  0.6824E+27  0.1028E+26  0.1387E+26  0.3284E+26
  0.9080E+27  0.1054E+26  0.1429E+26  0.3502E+26
  0.1155E+28  0.1080E+26  0.1471E+26  0.3726E+26
  0.1410E+28  0.1107E+26  0.1514E+26  0.3959E+26
  0.1660E+28  0.1133E+26  0.1557E+26  0.4196E+26
  0.1898E+28  0.1158E+26  0.1600E+26  0.4436E+26
  0.2118E+28  0.1185E+26  0.1643E+26  0.4691E+26
  0.2320E+28  0.1210E+26  0.1686E+26  0.4935E+26
  0.2501E+28  0.1237E+26  0.1729E+26  0.5191E+26
  0.2665E+28  0.1263E+26  0.1773E+26  0.5449E+26
  0.2811E+28  0.1290E+26  0.1816E+26  0.5708E+26
  0.2942E+28  0.1317E+26  0.1861E+26  0.5975E+26
  0.3059E+28  0.1343E+26  0.1905E+26  0.6230E+26
  0.3164E+28  0.1370E+26  0.1949E+26  0.6503E+26
  0.3258E+28  0.1398E+26  0.1993E+26  0.6766E+26
  0.3343E+28  0.1424E+26  0.2038E+26  0.7044E+26
  0.3420E+28  0.1452E+26  0.2083E+26  0.7299E+26
  0.3489E+28  0.1479E+26  0.2128E+26  0.7577E+26
  0.3551E+28  0.1507E+26  0.2174E+26  0.7838E+26
  0.3608E+28  0.1535E+26  0.2219E+26  0.8113E+26
  0.3660E+28  0.1563E+26  0.2265E+26  0.8372E+26
  0.3708E+28  0.1591E+26  0.2312E+26  0.8650E+26
